TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1067.04,1072.49,10.04,89.8772,-8.1424,4.27824,2.99403,99.4474,2.17588,0.235624,mudstone
1072.49,1075.02,10.5607,88.0208,-7.84358,4.06225,0.904588,105.621,2.13287,0.251977,mudstone
1075.02,1077.01,9.96903,85.9513,-7.12793,3.91594,1.63856,102.021,2.31305,0.269664,mudstone
1077.01,1079.81,9.15199,80.7888,-7.26352,5.27282,1.90291,102.816,2.11194,0.28816,mudstone
1079.81,1081.13,8.72312,74.4485,-10.0684,7.10871,6.50923,95.5701,2.3706,0.30593,mudstone
1081.13,1081.94,8.72521,74.5088,-9.82231,6.6088,5.16502,97.8876,2.36944,0.323312,mudstone
1081.94,1085.88,8.73878,68.0354,-11.1306,13.4681,15.5503,97.9841,2.2869,0.339476,mudstone
1085.88,1090.16,8.76278,105.219,-11.2712,47.6392,56.1496,103.726,2.19913,0.350494,oil shale
1090.16,1092.63,10.4104,110.386,-8.26544,6.89272,5.28313,107.202,2.10497,0.363601,mudstone
1092.63,1093.31,9.82294,117.369,-8.71241,7.96046,7.94063,122.171,2.16251,0.374401,mudstone
1093.31,1094.55,10.8288,111.061,-7.79587,6.17509,2.58626,111.495,2.03231,0.546109,mudstone
1094.55,1095.01,10.2654,107.622,-7.93649,5.7257,4.15264,99.1826,2.16891,0.712055,mudstone
1095.01,1097.47,10.8184,102.556,-8.7777,4.55693,1.43328,105.097,2.15554,0.7056,mudstone
1097.47,1100,10.3457,100.473,-13.9681,4.57087,2.77187,104.883,2.19157,0.697219,mudstone
1100,1100.53,11.3923,112.454,-16.7579,4.06748,1.95353,106.818,2.14042,0.684566,mudstone
1100.53,1102,10.4866,110.523,-17.456,5.45049,3.93329,115.017,2.13519,0.671857,mudstone
1102,1102.53,11.336,120.638,-17.4509,4.48378,2.44284,103.42,2.12996,0.654872,mudstone
1102.53,1103.25,10.2184,90.7998,-17.7925,7.2167,4.88661,95.4178,2.20669,0.640858,mudstone
1103.25,1106.25,11.577,104.776,-17.5012,4.37056,1.37984,102.868,2.05963,0.632244,mudstone
1106.25,1107.31,10.5523,104.42,-13.4583,6.12806,3.89111,111.615,2.15612,0.627406,mudstone
1107.31,1109.88,10.9384,100.926,-11.5223,3.97342,1.7623,100.848,2.07474,0.625385,mudstone
1109.88,1110.44,10.7652,86.4281,-11.1256,5.96781,4.43104,93.8987,2.22994,0.628824,mudstone
1110.44,1111.02,11.6073,102.964,-13.3253,5.19618,2.7325,107.296,2.13345,0.634309,mudstone
1111.02,1112.97,10.7151,105.236,-12.5242,5.03071,3.90798,110.453,2.16367,0.641265,mudstone
1112.97,1114.75,10.9906,108.616,-12.1601,4.07096,2.53564,107.106,2.03173,0.650063,mudstone
1114.75,1115.63,10.2831,107.392,-11.1055,6.09496,5.25782,97.1772,2.21424,0.665187,mudstone
1115.63,1116.49,11.2869,102.276,-13.5287,5.41565,3.31461,109.537,2.05149,0.683202,mudstone
1116.49,1118.02,10.3165,100.295,-15.6806,5.51668,4.33543,104.821,2.08056,0.696167,mudstone
1118.02,1119.73,11.4716,108.449,-14.5657,3.99432,2.22349,107.153,2.15379,0.711646,mudstone
1119.73,1120.37,10.3614,104.305,-15.3391,4.8304,3.44397,99.2062,2.23633,0.727038,mudstone
1120.37,1122,11.48,98.723,-14.4527,4.53081,2.2938,122.048,2.10381,0.735448,mudstone
1122,1123.53,10.9008,91.0087,-15.4948,4.88962,3.49459,110.272,2.10381,0.741112,mudstone
1123.53,1124.49,11.7607,111.224,-14.4276,3.38294,2.01258,121.061,2.17239,0.743836,mudstone
1124.49,1125.02,10.3875,108.18,-14.5507,6.70634,5.2297,90.1217,2.33049,0.738891,mudstone
1125.02,1125.98,11.0584,108.151,-14.2368,5.91033,2.88435,102.359,2.22122,0.736712,mudstone
1125.98,1126.53,10.5419,108.151,-13.0264,3.87762,2.21787,99.9412,2.20959,0.730278,mudstone
1126.53,1127.58,11.2598,104.397,-13.1445,4.40539,2.87029,102.728,2.27818,0.717268,mudstone
1127.58,1128.48,10.6869,98.7497,-13.2851,5.66473,3.64926,94.1163,2.19622,0.706039,mudstone
1128.48,1128.96,10.5868,104.822,-10.5982,5.18399,3.10933,102.503,2.23924,0.640967,mudstone
1128.96,1130.02,10.8925,106.502,-12.5343,5.10561,2.58908,98.1156,2.20843,0.575944,mudstone
1130.02,1138.58,11.3161,96.2231,-10.8644,3.94381,1.54295,106.869,2.08928,0.573759,mudstone
1138.58,1139.53,8.87756,103.085,-13.8727,13.0083,12.6173,77.8191,2.35781,0.569943,siltstone
1139.53,1145.38,10.9728,96.8162,-10.0533,10.2004,3.21056,107.989,2.11369,0.57173,mudstone
1145.38,1146.17,9.72694,109.819,-9.03885,8.74428,9.48731,86.967,2.27644,0.581807,oil shale
1146.17,1147.75,10.5189,110.013,-7.58243,6.83872,4.53509,106.271,2.17646,0.597433,mudstone
1147.75,1150.4,10.1788,101.265,-7.62009,4.74679,2.94622,103.967,2.09858,0.61587,mudstone
1150.4,1152.55,10.9989,107.102,-7.36397,3.29759,1.75386,107.293,2.15554,0.632668,mudstone
1152.55,1153.03,10.3551,106.37,-6.22143,5.27456,3.96985,113.337,2.23284,0.651523,mudstone
1153.03,1154.52,10.4709,106.58,-6.81655,5.3303,2.22631,113.491,2.17123,0.661083,mudstone
1154.52,1155,10.2059,107.11,-7.53472,4.08664,1.93384,94.0756,2.17821,0.670003,mudstone
1155,1156.36,10.7694,108.458,-6.78391,4.31308,2.15881,99.5524,2.09974,0.673907,mudstone
1156.36,1156.97,10.2059,97.4583,-7.03753,4.35314,3.76737,98.0844,2.18692,0.677132,mudstone
1156.97,1157.49,10.5711,104.922,-8.67977,3.94555,2.56939,106.031,2.15728,0.677535,mudstone
1157.49,1157.98,9.18016,110.028,-8.19262,10.0315,6.90012,111.112,2.19448,0.675614,oil shale
1157.98,1159.02,10.4083,110.599,-7.73058,11.3466,6.60485,108.166,2.06254,0.629412,mudstone
1159.02,1160.57,9.56207,112.636,-7.35643,6.24476,7.60879,110.841,2.24621,0.579328,oil shale
1160.57,1162.41,10.5763,110.299,-8.94343,5.15438,4.21451,94.2137,2.10381,0.564031,mudstone
1162.41,1162.99,10.2341,105.069,-10.7188,9.10832,5.80338,84.2305,2.18983,0.538991,oil shale
1162.99,1163.63,9.18851,104.752,-10.6736,9.68486,7.29383,82.6631,2.22238,0.513617,mudstone
1163.63,1164.25,8.71582,120.216,-10.4752,10.7805,9.25672,82.3368,2.37292,0.49774,oil shale
1164.25,1166.49,10.3134,103.609,-10.4526,7.93085,4.38886,92.337,2.09974,0.377999,mudstone
1166.49,1168.44,9.35755,111.227,-10.3848,5.88595,5.99742,109.574,2.11078,0.260651,mudstone
1168.44,1170.86,10.7861,97.8159,-10.2341,4.8304,3.2415,103.524,2.15379,0.257532,mudstone
1170.86,1172.01,8.73043,95.7842,-7.83354,14.3617,11.3265,107.1,2.28574,0.253348,siltstone
1172.01,1172.69,8.86608,99.6793,-6.31936,11.1149,6.55985,104.646,2.3148,0.254031,mudstone
1172.69,1173.38,8.70121,110.01,-6.56293,6.91537,4.40855,106.787,2.28283,0.258222,mudstone
1173.38,1176.06,10.2122,106.122,-7.1907,6.4921,3.79549,101.396,2.12473,0.259998,mudstone
1176.06,1177.99,8.62608,95.9931,-6.20134,22.1389,26.4137,105.958,2.30782,0.263355,oil shale
1177.99,1179.07,10.2007,110.212,-5.35009,13.064,6.14365,110.218,2.05789,0.263935,mudstone
1179.07,1181.02,10.0202,108.625,-5.69661,5.8633,4.65039,105.334,2.17879,0.349475,mudstone
1181.02,1181.99,9.28868,102.472,-5.82468,8.32276,5.37031,99.9724,2.18169,0.441196,mudstone
1181.99,1183.5,9.97424,98.7875,-6.0105,4.63706,2.8253,95.1123,2.12938,0.45974,mudstone
1183.5,1184.73,10.3186,106.151,-6.55289,4.32527,3.25556,103.76,2.10729,0.46588,mudstone
1184.73,1185.86,9.30016,120.892,-6.47002,13.1546,7.56942,104.966,2.18692,0.440159,oil shale
1185.86,1190.52,9.85946,82.8092,-6.02054,12.8515,5.04691,95.6155,2.18576,0.407498,mudstone
1190.52,1195.26,10.1934,105.282,-6.83664,4.66841,-0.630853,105.972,2.14391,0.369325,mudstone
1195.26,1198.44,8.81495,100.497,-9.81226,19.3659,15.2747,106.573,2.17181,0.312577,oil shale
1198.44,1199.25,10.1349,110.024,-7.8712,9.35392,6.09585,118.755,2.18867,0.247981,mudstone
1199.25,1200,9.18642,111.907,-8.83546,19.0245,15.3338,118.4,2.20611,0.201242,oil shale
1200,1201.44,9.99407,111.907,-8.17253,16.2864,6.36581,105.55,2.09974,0.187281,mudstone
1201.44,1202.52,9.06643,124.272,-10.2567,8.27573,7.02386,101.885,2.28109,0.250158,silty mudstone
1202.52,1203.06,9.0299,89.2364,-13.0691,17.1521,12.7438,76.457,2.34909,0.256755,siltstone
1203.06,1204.22,9.01425,90.4142,-13.7622,17.7722,15.1285,78.1767,2.34212,0.170965,siltstone
1204.22,1204.98,9.17703,105.743,-15.525,8.59797,7.41756,84.3128,2.3642,0.492257,mudstone
1204.98,1205.74,8.8379,89.6795,-24.2936,16.478,11.8186,80.6417,2.39559,0.602348,siltstone
1205.74,1209.47,9.14782,89.7118,-22.8598,16.3717,9.16673,79.5653,2.38164,0.439052,mudstone
1209.47,1210.57,9.32312,94.2503,-36.8892,21.3725,22.5133,78.4018,2.31829,0.642455,siltstone
1210.57,1211.97,9.07895,107.283,-30.0791,11.2926,8.29777,84.239,2.20204,0.602619,mudstone
1211.97,1212.55,8.93077,81.7689,-25.5944,14.3861,12.8535,75.1753,2.29271,0.510616,siltstone
1212.55,1213.49,8.97564,95.5781,-23.5529,12.6094,7.51318,85.2001,2.30608,0.539435,mudstone
1213.49,1214.5,9.20938,108.81,-24.4393,7.23934,7.24602,82.7142,2.32468,0.564506,silty mudstone
1214.5,1215.55,9.17286,104.873,-25.175,7.8995,6.60766,82.175,2.25319,0.555732,mudstone
1215.55,1216.3,8.67825,92.687,-32.9166,14.0238,10.3563,80.1489,2.36537,0.234224,siltstone
1216.3,1217.41,9.18642,101.973,-35.3373,12.7766,9.26515,81.301,2.35142,0.239078,silty mudstone
1217.41,1218.13,8.85356,68.5892,-39.2671,20.6531,16.3546,74.5216,2.36653,0.225765,siltstone
1218.13,1218.75,8.93182,74.063,-40.5478,19.2823,17.6257,77.6252,2.35374,0.374293,silty mudstone
1218.75,1219.31,8.78886,97.8804,-31.2644,14.2659,15.8625,77.0548,2.40024,0.540731,muddy siltstone
1219.31,1221,9.65807,100.771,-22.9854,10.7578,8.83771,83.5948,2.27353,0.399823,mudstone
1221,1222.25,9.03929,110.191,-21.9558,36.7302,31.8187,68.4725,2.3921,0.49959,siltstone
1222.25,1223.29,9.29912,106.407,-20.4793,28.4304,21.11,76.4768,2.32642,0.491428,muddy siltstone
1223.29,1224.42,9.88555,116.569,-18.6161,9.89911,8.00812,89.2789,2.34793,0.49208,silty mudstone
1224.42,1225.42,8.86295,126.698,-16.0925,7.02858,5.12002,89.9202,2.4264,0.48543,mudstone
1225.42,1226.06,8.77634,108.553,-18.1741,9.98272,12.0042,77.4048,2.45662,0.407062,silty mudstone
1226.06,1226.99,8.67617,90.8895,-20.6701,13.8757,14.9148,74.2435,2.46476,0.512712,muddy siltstone
1226.99,1227.75,8.70643,86.6846,-26.8298,28.3677,29.628,67.6562,2.47929,0.228254,siltstone
1227.75,1228.51,8.64591,83.2285,-28.6428,27.8016,32.4627,70.3501,2.43395,0.174585,muddy siltstone
1228.51,1229.62,8.70747,74.3238,-25.2026,31.0013,37.9155,66.1588,2.45255,0.200027,siltstone
1229.62,1230.69,8.76278,83.4921,-18.7893,20.0331,13.7956,84.2069,2.45837,0.172489,mudstone
1230.69,1231.44,8.74399,107.475,-17.3731,10.8885,12.1842,79.9843,2.45837,0.101408,silty mudstone
1231.44,1232.06,8.75965,110.268,-18.4805,10.824,8.56211,86.7145,2.41594,0.0800577,mudstone
1232.06,1232.49,8.76278,122.561,-21.5666,12.0328,10.1932,78.2939,2.44907,0.0475736,muddy siltstone
1232.49,1233.04,8.75756,110.039,-22.6288,12.2645,12.0829,77.6327,2.42524,0.0189427,silty mudstone
1233.04,1233.87,8.70225,77.6986,-20.8811,24.8962,19.6983,71.1599,2.43802,0.0131117,siltstone
1233.87,1235.31,8.74817,85.3751,-19.8867,18.5229,9.7151,80.2378,2.41128,0.0408172,mudstone
1235.31,1236.51,8.57912,81.4857,-32.2412,11.9092,11.4502,79.3543,2.35084,0.0312636,muddy siltstone
1236.51,1236.98,8.5113,77.1742,-36.6255,12.9055,12.7044,78.3044,2.34328,0.0282051,siltstone
1236.98,1237.97,8.7033,76.1956,-33.0372,16.9256,14.9317,76.666,2.34328,0.169593,muddy siltstone
1237.97,1238.55,9.39094,111.552,-26.4657,10.4234,10.66,80.3381,2.43744,0.136762,silty mudstone
1238.55,1239.49,9.99616,102.994,-24.04,6.82827,6.12397,82.9762,2.42872,0.2247,mudstone
1239.49,1240.48,8.74295,73.4685,-35.144,24.6106,23.475,70.9574,2.40722,0.405366,siltstone
1240.48,1241.38,9.08521,92.7024,-30.5763,18.1467,15.4238,77.6346,2.4171,0.432504,silty mudstone
1241.38,1241.81,9.54538,103.008,-23.4399,11.4337,12.5132,75.3578,2.48394,0.423625,mudstone
1241.81,1242.5,9.38886,102.418,-19.623,19.514,22.8142,71.6621,2.49615,0.458957,siltstone
1242.5,1243.19,9.37008,100.68,-19.6029,12.0416,11.9255,78.9022,2.47871,0.47351,mudstone
1243.19,1243.81,8.99651,86.7828,-19.6682,18.7789,20.8878,71.8135,2.48278,0.490903,siltstone
1243.81,1245.5,9.54329,103.419,-17.6468,10.8658,10.4856,81.9386,2.46302,0.499493,mudstone
1245.5,1246.4,8.82121,102.349,-17.4585,36.61,29.6027,70.4627,2.4572,0.528218,siltstone
1246.4,1247.18,10.6035,116.87,-17.2626,8.91846,9.01768,84.8283,2.44325,0.319993,mudstone
1247.18,1247.92,8.83477,81.4885,-21.9332,27.6448,25.8204,69.8223,2.44209,0.243715,siltstone
1247.92,1249.94,8.86295,93.6671,-19.1409,12.4387,9.74041,80.0344,2.41884,0.177413,mudstone
1249.94,1251.56,8.90573,101.534,-19.3769,10.6498,9.77134,78.6042,2.42349,0.0898198,silty mudstone
1251.56,1252.13,8.74399,90.0104,-30.388,16.4832,14.0627,74.9917,2.38978,-0.0114759,siltstone
1252.13,1253.03,8.57704,87.1067,-29.9737,16.7184,15.2269,76.4125,2.41012,-0.0677044,muddy siltstone
1253.03,1253.93,9.36277,112.779,-24.4468,12.3621,9.22297,81.0248,2.40954,-0.109704,mudstone
1253.93,1255.19,8.83895,98.2603,-25.519,10.6934,10.5559,79.3997,2.4078,-0.150552,muddy siltstone
1255.19,1255.75,10.0055,111.708,-25.2102,9.18148,7.28539,80.7694,2.43337,0.00619945,mudstone
1255.75,1256.38,9.00277,88.2424,-33.218,14.4035,11.2871,78.4926,2.40954,0.00702699,muddy siltstone
1256.38,1257.75,8.8379,102.181,-33.0974,10.9947,11.4136,76.6679,2.42233,0.277501,silty mudstone
1257.75,1259.13,8.26817,90.8727,-39.3149,13.604,16.2871,77.2922,2.37815,0.325831,muddy siltstone
1259.13,1259.94,8.90573,103.508,-33.8482,12.0172,11.1268,78.2561,2.41303,0.34215,mudstone
1259.94,1260.5,9.29494,66.5477,-32.648,30.4457,20.3957,68.6683,2.48045,-0.00257106,siltstone
1260.5,1261.53,8.88382,64.8638,-26.9102,34.0948,20.3029,75.3748,2.45778,0.28789,silty mudstone
1261.53,1262.31,9.41077,99.2769,-26.074,12.9699,11.4924,78.241,2.4543,0.310471,mudstone
1262.31,1263.29,8.74399,100.349,-27.1035,15.8718,17.6088,76.9943,2.43744,0.287806,siltstone
1263.29,1264.5,9.9325,106.467,-22.0362,12.4631,7.21227,83.1938,2.4636,0.337967,mudstone
1264.5,1265,9.63825,108.793,-21.323,6.90143,7.87594,82.5506,2.47871,0.415794,silty mudstone
1265,1265.76,9.97737,110.062,-21.3682,5.91207,4.97098,82.8183,2.45604,0.396602,mudstone
1265.76,1267.97,8.57286,46.2636,-30.7948,98.2723,61.9792,61.7575,2.42,0.542658,siltstone
1267.97,1268.64,8.68139,64.6199,-23.8893,43.2551,41.0482,67.1832,2.46534,0.442625,muddy siltstone
1268.64,1270.38,9.73529,103.947,-18.493,10.5836,7.87032,82.6281,2.44848,0.436327,mudstone
1270.38,1271.06,9.37216,102.941,-17.3982,9.11703,10.6572,80.9557,2.46592,0.434773,silty mudstone
1271.06,1271.66,10.0525,104.315,-17.1044,7.83156,5.65433,85.6796,2.47464,0.128951,mudstone
1271.66,1272.93,8.74504,50.77,-18.3449,126.798,68.8127,61.9949,2.47813,0.486452,siltstone
1272.93,1275.94,9.71233,80.6612,-11.7634,39.1984,9.07393,92.4959,2.40722,0.483031,mudstone
1275.94,1277,9.26051,87.4362,-10.7188,11.9492,7.87313,82.595,2.45372,0.259072,muddy siltstone
1277,1278.44,10.3134,101.959,-12.0572,10.3816,6.84388,86.9595,2.43744,0.34231,mudstone
1278.44,1279.06,9.34086,93.8451,-13.6165,15.9676,13.8799,79.8604,2.43163,0.320213,muddy siltstone
1279.06,1279.77,9.93772,101.756,-14.7365,11.0278,5.66277,86.2633,2.42,0.34425,mudstone
1279.77,1281.42,8.60834,62.0849,-20.1202,41.8181,38.1939,67.886,2.4572,-0.0210629,siltstone
1281.42,1282.19,9.17286,82.3465,-16.4792,22.806,10.9918,84.9201,2.39966,0.0529129,mudstone
1282.19,1282.88,8.37043,81.8502,-15.4948,26.3437,19.8051,71.6111,2.39966,-0.0335667,siltstone
1282.88,1283.63,9.63094,87.6381,-14.0786,13.6231,10.5756,81.1572,2.46825,0.0377291,mudstone
1283.63,1284.25,9.6132,77.6033,-12.9009,10.885,9.26515,79.6296,2.46825,0.0654818,muddy siltstone
1284.25,1285.63,9.51407,85.7018,-13.9154,11.897,7.21509,83.5362,2.48103,0.185454,mudstone
1285.63,1286.19,9.03721,90.117,-14.7867,7.89079,8.15997,84.3279,2.48162,0.16664,silty mudstone
1286.19,1288.02,8.8473,100.009,-13.5186,5.82324,2.69031,94.1257,2.36595,0.324793,mudstone
1288.02,1288.96,8.68765,78.7404,-14.8344,27.4236,26.8721,69.5442,2.4851,0.19801,siltstone
1288.96,1289.88,8.73043,85.9654,-14.2694,20.1393,19.0065,76.5535,2.46941,0.0509377,mudstone
1289.88,1290.48,8.73043,86.4645,-16.1854,21.3377,26.5206,71.3831,2.47348,0.0145553,siltstone
1290.48,1291,8.70643,93.1623,-16.8784,21.315,20.9666,73.6192,2.45662,-0.0702753,silty mudstone
1291,1291.99,8.69495,83.2158,-16.3712,23.2833,27.7804,71.0331,2.45778,0.326438,siltstone
1291.99,1292.75,8.70539,94.8406,-15.5199,13.0309,12.2826,78.8908,2.44267,0.253427,mudstone
1292.75,1293.74,8.70434,69.7992,-15.4823,39.1461,28.0532,69.5149,2.45778,0.32204,siltstone
1293.74,1295.63,8.76695,91.885,-10.9674,13.111,6.46424,86.8583,2.44907,0.37321,mudstone
1295.63,1296.38,8.71165,83.0504,-10.4752,22.7573,17.9801,75.7144,2.4944,0.411592,siltstone
1296.38,1297.63,8.72104,107.694,-9.97297,6.93452,2.96028,90.938,2.4729,0.332484,mudstone
1297.63,1298.21,8.82747,92.2159,-11.3691,13.0414,8.79271,77.664,2.48162,-0.0700049,siltstone
1298.21,1299.06,8.91721,103.958,-11.7131,12.1286,4.63352,86.2009,2.46302,-0.0531813,mudstone
1299.06,1300.94,8.86608,94.8729,-14.8595,12.5345,10.8906,78.1719,2.43163,-0.0529031,siltstone
1300.94,1301.48,8.96312,116.877,-14.8645,6.70112,5.01035,85.0317,2.40605,0.0208749,mudstone
1301.48,1302,9.01634,112.114,-14.4954,9.93046,7.19259,87.4788,2.39501,0.37325,muddy siltstone
1302,1302.52,9.05077,111.725,-15.6028,5.69783,2.76905,86.67,2.36246,0.388476,mudstone
1302.52,1303.99,8.78573,85.734,-19.1936,14.2728,14.3046,76.9413,2.42407,0.392515,siltstone
1303.99,1305.54,9.02886,104.989,-15.869,8.52655,2.60595,95.1208,2.26888,0.401049,mudstone
1305.54,1306.45,8.88904,97.0363,-17.9858,5.7048,4.94848,87.1307,2.45139,0.0643315,silty mudstone
1306.45,1307.69,9.04451,105.965,-18.2093,4.30263,1.67231,94.5656,2.42524,0.00702911,mudstone
1307.69,1309,8.88382,91.0087,-19.515,10.2422,9.1133,79.8944,2.45197,0.0393097,siltstone
1309,1309.91,9.0466,103.597,-19.6657,7.36824,6.51204,84.729,2.44848,0.0767134,mudstone
1309.91,1311.49,8.69912,86.55,-25.5718,12.5484,12.4766,79.7677,2.40489,0.06471,siltstone
1311.49,1312.53,8.50921,86.4827,-31.9875,19.5401,20.0301,77.0993,2.38978,0.419117,siltstone
1312.53,1312.97,8.57078,90.0469,-31.8971,13.3671,13.5312,79.2257,2.39327,0.246773,muddy siltstone
1312.97,1313.52,8.44034,66.3024,-31.5858,29.7542,26.7821,73.274,2.38629,0.358278,siltstone
1313.52,1314.52,8.82538,76.3961,-24.2484,19.6168,15.9862,78.3838,2.41884,0.245206,siltstone
1314.52,1316.33,10.5075,110.569,-15.8991,6.43636,1.89447,93.3643,2.43802,0.242108,mudstone
1316.33,1317.48,9.18225,89.6416,-17.5514,21.1478,15.2073,76.737,2.45313,0.350107,siltstone
1317.48,1320.01,9.78224,95.222,-14.056,6.7795,2.93497,90.2853,2.45604,0.724721,mudstone
1320.01,1320.65,8.78469,102.204,-12.7753,12.0259,12.3557,75.4761,2.45197,0.693299,siltstone
1320.65,1321.46,8.80451,87.2693,-15.4798,13.8949,13.5593,76.3245,2.40954,0.713343,muddy siltstone
1321.46,1322,8.78051,87.2735,-17.1672,15.7795,19.2005,75.1157,2.40954,0.637372,siltstone
1322,1323,8.75756,85.8027,-15.4647,11.9649,11.5655,79.219,2.42872,0.523989,muddy siltstone
1323,1323.72,8.53426,77.0508,-20.2458,18.2982,21.2562,81.4637,2.35607,0.528983,siltstone
1323.72,1324.14,8.56243,88.949,-20.6149,14.123,17.5329,78.3639,2.41245,0.33768,muddy siltstone
1324.14,1325.63,9.61946,109.077,-16.3185,10.0611,6.74545,82.0265,2.43454,0.113864,mudstone
1325.63,1327.28,8.71999,93.9293,-19.3292,12.4004,13.5003,77.3452,2.39792,0.130252,siltstone
1327.28,1328.19,9.9012,105.79,-14.4377,10.7317,7.6341,77.5306,2.46999,0.264469,mudstone
1328.19,1329.94,9.29599,108.097,-14.9298,9.9113,9.85008,75.6842,2.44267,0.34369,silty mudstone
1329.94,1330.63,9.5819,112.061,-15.648,8.12419,6.41643,80.077,2.44325,0.368066,mudstone
1330.63,1331.38,9.49738,115.063,-15.7007,9.19019,9.51825,76.2659,2.45255,0.440967,silty mudstone
1331.38,1332.19,10.4751,116.702,-17.9984,8.41333,7.65097,78.276,2.43512,0.405641,mudstone
1332.19,1332.77,8.56869,84.6334,-23.1184,33.5705,25.1117,78.1303,2.38513,0.513185,siltstone
1332.77,1333.73,9.92311,94.7509,-17.7598,25.896,12.0154,77.1125,2.39443,0.458698,mudstone
1333.73,1334.7,8.70017,88.7569,-18.154,14.9713,14.403,76.614,2.39675,0.482499,muddy siltstone
1334.7,1336.75,10.1516,96.4012,-12.3736,9.94788,5.40686,81.0248,2.40896,0.463291,mudstone
1336.75,1337.44,9.49946,104.431,-14.4,8.93066,7.51318,77.1815,2.45604,0.398283,silty mudstone
1337.44,1341.99,10.1829,112.555,-9.94033,7.1958,3.98953,82.263,2.46767,0.423841,mudstone
1341.99,1343.01,9.82711,100.729,-10.4074,7.73576,6.12959,78.2599,2.47057,0.489153,silty mudstone
1343.01,1344.68,9.37216,115.742,-10.9674,6.40501,4.70663,80.951,2.46476,0.474536,mudstone
1344.68,1346.03,8.50399,75.7861,-20.6124,12.639,13.0503,79.2503,2.39269,0.406886,siltstone
1346.03,1347.36,8.54782,64.4853,-31.1614,32.8407,33.1207,73.4707,2.3921,0.437322,siltstone
1347.36,1349.22,8.4633,55.99,-34.0968,26.9742,22.6961,82.3661,2.327,0.262104,siltstone
1349.22,1353.94,8.81599,60.4612,-14.2744,12.0677,4.65602,81.7181,2.32294,0.132519,mudstone
1353.94,1355.43,8.76069,111.834,-14.4452,7.81763,6.99574,76.6575,2.45662,0.236857,silty mudstone
1355.43,1357.22,8.50608,52.4847,-31.7716,74.1568,38.8744,69.1725,2.3549,0.190742,siltstone
1357.22,1358.01,8.39547,51.7682,-34.9908,66.9195,48.8717,80.0827,2.31712,0.210838,siltstone
1358.01,1358.79,8.38713,51.6435,-31.7289,39.3899,43.6889,79.2654,2.30782,0.357404,siltstone
1358.79,1360,9.65077,76.4956,-15.3015,16.9988,9.07393,79.2976,2.21017,0.324121,mudstone
1360,1361.39,8.57391,77.4476,-13.3001,20.2612,19.0965,68.6437,2.32294,0.297884,siltstone
1361.39,1362.72,10.5242,109.375,-10.9674,11.6584,6.5486,79.8065,2.08404,0.242971,mudstone
1362.72,1364.38,9.61529,107.057,-10.3321,8.34366,6.64141,77.8815,2.10148,0.27039,silty mudstone
1364.38,1365.06,10.2142,111.039,-8.55924,7.8664,4.6054,81.9395,2.17646,0.282849,mudstone
1365.06,1365.94,9.8699,102.927,-8.39853,7.70441,6.10709,77.8531,2.19913,0.467998,silty mudstone
1365.94,1367.26,10.0629,112.173,-9.57622,7.01813,5.04128,79.6513,2.17007,0.566685,mudstone
1367.26,1367.79,9.03825,87.9914,-13.6718,11.1776,9.38889,77.4171,2.30782,0.512063,siltstone
1367.79,1368.56,9.13425,89.3935,-15.4069,10.5593,9.23703,75.9897,2.32759,0.588209,silty mudstone
1368.56,1369.38,8.9193,87.753,-15.2613,11.3727,11.723,75.915,2.38745,0.62621,siltstone
1369.38,1370.13,9.61216,92.8426,-15.8941,9.45843,5.88774,81.0191,2.27062,0.594828,mudstone
1370.13,1370.78,8.9579,97.4962,-17.5464,13.8879,10.4913,79.5917,2.32584,0.163724,siltstone
1370.78,1371.5,9.91164,96.8386,-16.778,10.6185,4.28481,86.6653,2.20029,0.49689,mudstone
1371.5,1373.38,9.93146,110.618,-16.5922,6.57571,4.92036,80.2056,2.26539,0.471015,silty mudstone
1373.38,1373.92,8.98399,91.2176,-16.7704,12.5118,8.56211,77.2506,2.29387,0.614702,siltstone
1373.92,1374.65,9.7499,94.6682,-17.3781,11.9127,7.1729,80.4355,2.26714,0.303746,mudstone
1374.65,1375.55,8.93495,83.3252,-17.3028,13.4524,11.6921,74.8186,2.29678,0.511365,siltstone
1375.55,1377.37,10.2956,101.278,-14.2845,9.63087,4.42542,90.8349,2.17588,0.528763,mudstone
1377.37,1377.97,9.17808,91.8023,-10.0207,8.15032,6.12115,77.9818,2.34328,0.501409,muddy siltstone
1377.97,1378.56,9.87094,99.0231,-6.5102,8.14161,4.2595,85.1916,2.25028,0.50716,mudstone
1378.56,1379.19,9.20834,101.92,-5.44048,5.89988,5.76963,82.9043,2.27411,0.510558,silty mudstone
1379.19,1380.38,9.61738,110.592,-5.33251,4.13889,3.24993,88.7198,2.25784,0.474803,mudstone
1380.38,1381.75,8.90677,83.5201,-7.53472,18.6187,15.6909,75.2008,2.38804,0.124202,siltstone
1381.75,1382.56,9.85111,92.6211,-5.43546,12.9281,6.10428,85.9634,2.22006,0.380011,mudstone
1382.56,1383.13,9.4139,106.035,-3.17299,5.3094,5.00472,83.8597,2.32817,0.475218,silty mudstone
1383.13,1386.06,9.70294,105.741,-1.92498,5.16657,2.11382,87.2678,2.19099,0.467376,mudstone
